NOT_NAMED	2019	7	22	12	4
IVO	2019	8	25	0	9
ERIN	2019	8	26	12	14
DORIAN	2019	8	31	12	28
HUMBERTO	2019	9	12	12	23
IMELDA	2019	9	17	12	7
LORENA	2019	9	21	6	6
MARIO	2019	9	23	6	7
MELISSA	2019	10	8	18	14
NESTOR	2019	10	18	12	11
OLGA	2019	10	25	12	10
